Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,EngagementScore,RecentOrder,UnhappyCustomer,LoyaltyTier,CashbackPerOrder
8.0,33.0,5.0,Mobile Phone,3.0,Married,3.0,0.0,1.0,145.29,0.0,47.986999999999995,1,0,Regular,24.215
0.0,14.0,4.0,Mobile,4.0,Married,2.0,0.0,3.0,123.68,0.0,38.704,1,0,,24.736
17.0,19.0,5.0,Grocery,4.0,Married,3.0,0.0,10.0,268.36,0.0,87.60799999999999,1,0,Loyal,44.72666666666667
8.0,26.0,5.0,Mobile Phone,1.0,Married,3.0,0.0,8.0,154.29,0.0,50.687,1,0,Regular,25.715
3.0,14.0,3.0,Mobile,1.0,Single,1.0,0.0,7.0,125.64,0.0,39.792,1,0,New,31.41
0.0,8.0,3.0,Laptop & Accessory,3.0,Single,2.0,1.0,4.0,144.78,0.0,44.634,1,1,,36.195
4.0,32.0,3.0,Mobile,3.0,Married,2.0,0.0,3.0,129.11,0.0,41.13300000000001,1,0,New,32.2775
1.0,10.0,4.0,Mobile Phone,5.0,Married,7.0,0.0,3.0,165.31,0.0,51.492999999999995,1,0,New,33.062
1.0,16.0,4.0,Mobile Phone,1.0,Single,3.0,0.0,1.0,135.81,0.0,42.643,1,0,New,27.162
1.0,31.0,5.5,Mobile Phone,1.0,Single,3.0,1.0,1.0,148.4,0.0,47.02,1,1,New,22.83076923076923
0.0,16.0,3.0,Laptop & Accessory,2.0,Single,1.0,0.0,1.0,149.5,0.0,46.050000000000004,1,0,,37.375
1.0,16.0,3.0,Laptop & Accessory,3.0,Single,4.0,0.0,7.0,136.6,0.0,42.48,1,0,New,34.15
13.0,21.0,4.0,Fashion,3.0,Married,2.0,0.0,12.0,204.35,0.0,66.80499999999999,1,0,Loyal,40.87
5.0,12.0,4.0,Laptop & Accessory,3.0,Married,3.0,0.0,3.0,208.46,0.0,65.63799999999999,1,0,New,41.692
1.0,11.0,4.0,Mobile Phone,5.0,Single,3.0,0.0,1.0,154.73,0.0,48.318999999999996,1,0,New,30.945999999999998
0.0,14.0,3.0,Mobile,3.0,Married,2.0,0.0,3.0,125.17,0.0,38.751000000000005,1,0,,31.2925
15.0,13.0,4.0,Fashion,3.0,Single,3.0,0.0,3.0,217.41,0.0,71.323,1,0,Loyal,43.482
24.0,14.0,4.0,Fashion,4.0,Divorced,6.0,0.0,3.0,224.9,0.0,76.27,1,0,Loyal,44.980000000000004
8.0,16.0,5.0,Fashion,4.0,Single,3.0,0.0,3.0,211.21,0.0,67.763,1,0,Regular,35.20166666666667
14.0,14.0,3.0,Laptop & Accessory,4.0,Married,6.0,0.0,4.0,143.93,0.0,48.57900000000001,1,0,Loyal,35.9825
5.0,15.0,5.0,Laptop & Accessory,1.0,Married,1.0,0.0,7.0,146.68,0.0,47.504,1,0,New,24.44666666666667
9.0,11.0,4.0,Laptop & Accessory,3.0,Single,3.0,1.0,2.0,167.49,0.0,54.547000000000004,1,1,Regular,33.498000000000005
1.0,31.0,4.0,Mobile Phone,2.0,Divorced,2.0,0.0,2.0,149.0,0.0,46.599999999999994,1,0,New,29.8
0.0,6.0,3.0,Laptop & Accessory,4.0,Divorced,1.0,1.0,4.0,163.49,0.0,50.24700000000001,1,1,,40.8725
7.0,8.0,3.0,Laptop & Accessory,5.0,Single,1.0,1.0,2.0,145.38,0.0,46.914,1,1,Regular,36.345
6.0,12.0,4.0,Laptop & Accessory,4.0,Married,3.0,0.0,4.0,190.24,0.0,60.472,1,0,New,38.048
1.0,10.0,4.0,Mobile Phone,1.0,Single,3.0,1.0,1.0,140.69,0.0,44.107,1,1,New,28.137999999999998
9.0,18.0,4.0,Fashion,2.0,Single,1.0,0.0,8.0,188.58,0.0,60.87400000000001,1,0,Regular,37.716
8.0,11.0,4.0,Fashion,1.0,Married,4.0,1.0,3.0,222.13,0.0,70.639,1,1,Regular,44.426
9.0,6.0,3.0,Mobile,1.0,Married,4.0,0.0,2.0,122.7,0.0,40.71000000000001,1,0,Regular,30.675
11.0,22.0,3.0,Laptop & Accessory,4.0,Single,3.0,0.0,2.0,141.98,0.0,47.093999999999994,1,0,Regular,35.495
4.0,10.0,4.0,Mobile Phone,1.0,Married,6.0,0.0,5.0,145.97,0.0,46.591,1,0,New,29.194
25.0,10.0,4.0,Grocery,4.0,Single,5.0,0.0,1.0,262.34,0.0,87.80199999999998,1,0,VIP,52.467999999999996
2.0,19.0,4.0,Laptop & Accessory,4.0,Married,5.0,1.0,3.0,140.25,0.0,44.275,1,1,New,28.05
30.0,6.0,3.0,Fashion,2.0,Divorced,4.0,1.0,3.0,219.04,0.0,75.91199999999999,1,1,VIP,54.76
18.0,10.0,5.0,Fashion,3.0,Married,5.0,0.0,3.0,197.56,0.0,66.668,1,0,Loyal,32.92666666666667
19.0,32.0,4.0,Laptop & Accessory,4.0,Single,9.0,0.0,2.0,179.91,0.0,61.273,1,0,Loyal,35.982
9.0,15.0,3.0,Mobile,1.0,Married,4.0,0.0,3.0,120.75,0.0,40.12500000000001,1,0,Regular,30.1875
8.0,23.0,3.0,Laptop & Accessory,5.0,Married,4.0,1.0,7.0,189.66,0.0,60.498,1,1,Regular,47.415
0.0,30.0,1.5,Mobile Phone,5.0,Single,2.0,0.0,0.0,110.91,0.0,33.873,1,0,,44.364
8.0,32.0,3.0,Fashion,1.0,Single,2.0,1.0,7.0,188.37,0.0,60.111000000000004,1,1,Regular,47.0925
4.0,15.0,2.0,Fashion,5.0,Married,2.0,1.0,8.0,239.16000000000005,0.0,73.74800000000002,1,1,New,79.72000000000001
0.0,35.0,4.0,Laptop & Accessory,3.0,Single,2.0,0.0,8.0,145.08,0.0,45.124,1,0,,29.016000000000002
2.0,23.0,4.0,Fashion,5.0,Single,2.0,0.0,9.0,179.88,0.0,56.164,1,0,New,35.976
4.0,8.0,5.0,Mobile,1.0,Married,5.0,1.0,0.0,127.78,0.0,41.534,1,1,New,21.296666666666667
19.0,21.0,3.0,Others,4.0,Married,6.0,0.0,3.0,269.57500000000005,0.0,87.77250000000002,1,0,Loyal,67.39375000000001
19.0,14.0,3.0,Mobile,3.0,Married,9.0,0.0,8.0,123.39,0.0,43.917,1,0,Loyal,30.8475
14.0,7.0,5.5,Laptop & Accessory,1.0,Married,4.0,1.0,3.0,199.57,0.0,66.271,1,1,Loyal,30.70307692307692
15.0,9.0,4.0,Grocery,5.0,Divorced,9.0,0.0,9.0,269.57500000000005,0.0,86.97250000000001,1,0,Loyal,53.915000000000006
5.0,11.0,3.0,Laptop & Accessory,4.0,Married,2.0,0.0,3.0,165.24,0.0,52.272000000000006,1,0,New,41.31
1.0,14.0,2.0,Mobile Phone,5.0,Single,2.0,0.0,8.0,160.78,0.0,49.333999999999996,1,0,New,53.593333333333334
8.0,14.0,3.0,Mobile,3.0,Married,2.0,0.0,0.0,124.04,0.0,40.812000000000005,1,0,Regular,31.01
21.0,11.0,4.0,Laptop & Accessory,3.0,Single,5.0,0.0,1.0,154.76,0.0,54.327999999999996,1,0,Loyal,30.951999999999998
1.0,7.0,5.0,Mobile Phone,3.0,Married,8.0,1.0,3.0,153.0,0.0,48.199999999999996,1,1,New,25.5
24.0,12.0,4.0,Mobile,3.0,Single,1.0,0.0,7.0,128.38,0.0,47.31399999999999,1,0,Loyal,25.676
14.0,16.0,3.0,Laptop & Accessory,1.0,Single,8.0,0.0,10.0,162.3,0.0,54.09000000000001,1,0,Loyal,40.575
13.0,14.0,3.0,Mobile,1.0,Married,9.0,0.0,0.0,124.06,0.0,42.318,1,0,Loyal,31.015
0.0,10.0,3.0,Laptop & Accessory,3.0,Divorced,2.0,1.0,3.0,141.62,0.0,43.686,1,1,,35.405
21.0,10.0,4.0,Grocery,3.0,Married,11.0,1.0,14.0,262.7,0.0,86.70999999999998,1,1,Loyal,52.54
29.0,9.0,5.0,Mobile Phone,1.0,Married,10.0,0.0,5.0,151.62,0.0,56.18599999999999,1,0,VIP,25.27
7.0,14.0,3.0,Laptop & Accessory,5.0,Married,4.0,0.0,0.0,151.21,0.0,48.663000000000004,1,0,Regular,37.8025
14.0,15.0,4.0,Laptop & Accessory,5.0,Married,4.0,1.0,1.0,190.16,0.0,62.848,1,1,Loyal,38.032
5.0,9.0,5.5,Mobile Phone,1.0,Married,6.0,1.0,1.0,152.78,0.0,49.534,1,1,New,23.504615384615384
5.0,14.0,5.0,Mobile Phone,3.0,Married,5.0,0.0,3.0,148.29,0.0,47.986999999999995,1,0,New,24.715
2.0,15.0,5.0,Mobile Phone,2.0,Married,3.0,0.0,5.0,174.36,0.0,54.908,1,0,New,29.060000000000002
3.0,7.0,5.5,Mobile Phone,2.0,Married,3.0,0.0,9.0,152.2,0.0,48.76,1,0,New,23.415384615384614
0.0,12.0,3.0,Mobile Phone,1.0,Married,2.0,1.0,2.0,71.37499999999997,0.0,22.61249999999999,1,1,,17.843749999999993
11.0,20.0,3.0,Laptop & Accessory,4.0,Married,1.0,0.0,7.0,199.24,0.0,64.272,1,0,Regular,49.81
6.0,6.0,1.5,Grocery,3.0,Married,5.0,0.0,5.0,261.84,0.0,80.95199999999998,1,0,New,104.73599999999999
2.0,15.0,5.0,Mobile Phone,1.0,Married,3.0,0.0,5.0,174.36,0.0,54.908,1,0,New,29.060000000000002
1.0,9.0,4.0,Mobile Phone,4.0,Married,6.0,0.0,3.0,146.87,0.0,45.961,1,0,New,29.374000000000002
14.0,15.0,3.0,Fashion,3.0,Married,4.0,1.0,7.0,181.89,0.0,59.967,1,1,Loyal,45.4725
1.0,10.0,4.0,Mobile Phone,1.0,Single,3.0,1.0,1.0,140.69,0.0,44.107,1,1,New,28.137999999999998
3.0,11.0,4.0,Mobile Phone,2.0,Married,10.0,0.0,3.0,137.61,0.0,43.783,1,0,New,27.522000000000002
26.0,9.0,5.0,Mobile Phone,2.0,Single,9.0,0.0,3.0,157.12,0.0,56.936,1,0,VIP,26.186666666666667
1.0,20.0,5.0,Laptop & Accessory,5.0,Married,7.0,1.0,3.0,186.34,0.0,58.202,1,1,New,31.05666666666667
5.0,16.0,3.0,Laptop & Accessory,1.0,Single,9.0,0.0,0.0,146.48,0.0,46.644,1,0,New,36.62
13.0,14.0,3.0,Laptop & Accessory,5.0,Married,3.0,1.0,0.0,165.16,0.0,54.647999999999996,1,1,Loyal,41.29
4.0,8.0,3.0,Laptop & Accessory,2.0,Single,5.0,1.0,5.0,165.82,0.0,52.146,1,1,New,41.455
0.0,14.0,3.0,Mobile,2.0,Divorced,1.0,0.0,1.0,124.0,0.0,38.4,1,0,,31.0
1.0,32.0,5.0,Mobile Phone,4.0,Single,6.0,1.0,3.0,148.13,0.0,46.739,1,1,New,24.688333333333333
30.0,11.0,4.0,Others,5.0,Married,6.0,0.0,3.0,269.57500000000005,0.0,91.47250000000001,1,0,VIP,53.915000000000006
0.0,26.0,5.0,Laptop & Accessory,3.0,Divorced,4.0,1.0,2.0,145.59,0.0,45.677,1,1,,24.265
9.0,8.0,4.0,Mobile,3.0,Single,7.0,1.0,0.0,120.9,0.0,40.57000000000001,1,1,Regular,24.18
17.0,11.0,5.0,Fashion,2.0,Single,5.0,0.0,3.0,227.31,0.0,75.29299999999999,1,0,Loyal,37.885
26.0,15.0,4.0,Mobile Phone,5.0,Divorced,11.0,0.0,5.0,154.5,0.0,55.75,1,0,VIP,30.9
5.0,25.0,1.5,Mobile,3.0,Married,7.0,1.0,2.0,127.59,0.0,40.377,1,1,New,51.036
0.0,14.0,4.0,Mobile,3.0,Divorced,2.0,0.0,2.0,125.39,0.0,39.217,1,0,,25.078
19.0,6.0,3.0,Fashion,5.0,Married,2.0,0.0,7.0,204.53,0.0,68.259,1,0,Loyal,51.1325
8.0,14.0,4.0,Mobile,5.0,Single,2.0,0.0,2.0,124.5,0.0,41.35,1,0,Regular,24.9
9.0,12.0,3.0,Laptop & Accessory,3.0,Married,3.0,1.0,5.0,123.06,0.0,40.818000000000005,1,1,Regular,30.765
9.0,9.0,3.0,Mobile Phone,1.0,Married,2.0,0.0,0.0,117.06,0.0,39.01800000000001,1,0,Regular,29.265
1.0,20.0,5.0,Mobile Phone,5.0,Married,6.0,1.0,1.0,148.35,0.0,46.80499999999999,1,1,New,24.724999999999998
9.0,13.0,3.0,Mobile Phone,2.0,Single,3.0,0.0,1.0,146.78,0.0,47.934000000000005,1,0,Regular,36.695
1.0,10.0,4.0,Mobile Phone,3.0,Single,3.0,0.0,8.0,165.84,0.0,51.652,1,0,New,33.168
8.0,11.0,4.0,Laptop & Accessory,3.0,Divorced,11.0,0.0,3.0,190.38,0.0,61.114,1,0,Regular,38.076
26.0,7.0,4.0,Grocery,3.0,Married,5.0,1.0,3.0,229.65,0.0,78.29499999999999,1,1,VIP,45.93
2.0,16.0,4.0,Mobile Phone,3.0,Married,7.0,0.0,3.0,148.77,0.0,46.831,1,0,New,29.754
9.0,22.0,3.0,Mobile,3.0,Single,2.0,0.0,4.0,121.44,0.0,40.332,1,0,Regular,30.36
4.0,14.0,4.0,Laptop & Accessory,3.0,Married,3.0,0.0,10.0,159.91,0.0,50.773,1,0,New,31.982
16.0,30.0,4.0,Grocery,2.0,Single,4.0,0.0,1.0,269.57500000000005,0.0,87.27250000000001,1,0,Loyal,53.915000000000006
1.0,12.0,4.0,Mobile Phone,4.0,Single,3.0,1.0,3.0,149.78,0.0,46.833999999999996,1,1,New,29.956
9.0,23.0,4.0,Fashion,3.0,Married,6.0,1.0,1.0,201.32,0.0,64.696,1,1,Regular,40.263999999999996
2.0,26.0,3.0,Mobile Phone,1.0,Married,2.0,0.0,10.0,138.12,0.0,43.236000000000004,1,0,New,34.53
10.0,14.0,3.0,Laptop & Accessory,4.0,Married,3.0,0.0,7.0,140.71,0.0,46.413000000000004,1,0,Regular,35.1775
1.0,14.0,5.0,Laptop & Accessory,3.0,Divorced,4.0,0.0,1.0,186.32,0.0,58.19599999999999,1,0,New,31.05333333333333
23.0,14.0,3.0,Mobile,1.0,Married,5.0,0.0,0.0,123.8,0.0,45.24,1,0,Loyal,30.95
21.0,9.0,2.0,Grocery,4.0,Married,8.0,0.0,3.0,269.57500000000005,0.0,87.97250000000001,1,0,Loyal,89.85833333333335
26.0,13.0,4.0,Fashion,1.0,Married,8.0,1.0,3.0,209.34,0.0,72.202,1,1,VIP,41.868
11.0,16.0,3.0,Laptop & Accessory,3.0,Married,4.0,0.0,2.0,160.77,0.0,52.731,1,0,Regular,40.1925
31.0,10.0,5.0,Laptop & Accessory,1.0,Single,7.0,0.0,6.0,176.71,0.0,64.313,1,0,VIP,29.451666666666668
14.0,12.0,5.0,Fashion,5.0,Divorced,7.0,1.0,3.0,229.75,0.0,75.125,1,1,Loyal,38.291666666666664
4.0,11.0,3.0,Laptop & Accessory,5.0,Single,1.0,0.0,7.0,199.36,0.0,62.208000000000006,1,0,New,49.84
17.0,34.0,3.0,Grocery,5.0,Divorced,4.0,0.0,14.5,263.28,0.0,85.28399999999999,1,0,Loyal,65.82
7.0,10.0,3.0,Laptop & Accessory,3.0,Married,10.0,0.0,2.0,165.38,0.0,52.914,1,0,Regular,41.345
20.0,8.0,3.0,Others,4.0,Single,8.0,1.0,8.0,269.57500000000005,0.0,88.07250000000002,1,1,Loyal,67.39375000000001
8.0,29.0,5.0,Laptop & Accessory,1.0,Married,3.0,1.0,12.0,182.47,0.0,59.141,1,1,Regular,30.411666666666665
1.0,16.0,5.5,Mobile Phone,4.0,Single,3.0,0.0,3.0,152.6,0.0,48.279999999999994,1,0,New,23.476923076923075
17.0,31.0,4.0,Fashion,5.0,Single,8.0,1.0,3.0,229.48,0.0,75.54399999999998,1,1,Loyal,45.896
27.0,13.0,4.0,Laptop & Accessory,3.0,Divorced,4.0,1.0,6.0,148.06,0.0,54.118,1,1,VIP,29.612000000000002
16.0,7.0,5.0,Laptop & Accessory,2.0,Divorced,11.0,1.0,3.0,185.62,0.0,62.486,1,1,Loyal,30.936666666666667
16.0,9.0,4.0,Laptop & Accessory,1.0,Married,3.0,0.0,3.0,165.89,0.0,56.166999999999994,1,0,Loyal,33.178
9.0,13.0,3.0,Mobile Phone,3.0,Married,2.0,0.0,0.0,112.74,0.0,37.722,1,0,Regular,28.185
10.0,33.0,4.0,Laptop & Accessory,3.0,Married,8.0,0.0,3.0,178.47,0.0,58.141,1,0,Regular,35.694
10.0,30.0,2.0,Laptop & Accessory,1.0,Married,6.0,0.0,4.0,150.71,0.0,49.013,1,0,Regular,50.23666666666667
3.0,11.0,3.0,Mobile,5.0,Married,6.0,0.0,14.5,132.04,0.0,41.711999999999996,1,0,New,33.01
0.0,24.0,1.5,Laptop & Accessory,3.0,Divorced,3.0,0.0,2.0,162.32,0.0,49.296,1,0,,64.928
12.0,16.0,3.0,Laptop & Accessory,5.0,Married,3.0,0.0,7.0,153.77,0.0,50.931000000000004,1,0,Regular,38.4425
6.0,17.0,4.0,Laptop & Accessory,1.0,Single,10.0,0.0,1.0,171.48,0.0,54.843999999999994,1,0,New,34.296
11.0,18.0,4.0,Laptop & Accessory,5.0,Married,3.0,0.0,2.0,162.88,0.0,53.763999999999996,1,0,Regular,32.576
6.0,7.0,5.0,Mobile Phone,4.0,Married,2.0,0.0,3.0,147.69,0.0,48.10699999999999,1,0,New,24.615
4.0,6.0,3.0,Laptop & Accessory,5.0,Married,2.0,0.0,3.0,141.48,0.0,44.844,1,0,New,35.37
17.0,9.0,4.0,Mobile Phone,1.0,Single,2.0,0.0,9.0,160.39,0.0,54.817,1,0,Loyal,32.077999999999996
7.0,21.0,3.0,Fashion,2.0,Divorced,2.0,0.0,5.0,179.78,0.0,57.234,1,0,Regular,44.945
8.0,15.0,4.0,Laptop & Accessory,5.0,Married,7.0,0.0,3.0,190.0,0.0,61.0,1,0,Regular,38.0
15.0,9.0,5.0,Laptop & Accessory,3.0,Single,4.0,1.0,8.0,193.11,0.0,64.43299999999999,1,1,Loyal,32.185
31.0,9.0,5.0,Grocery,2.0,Single,5.0,1.0,4.0,262.26,0.0,89.978,1,1,VIP,43.71
16.0,14.0,3.0,Laptop & Accessory,4.0,Married,5.0,0.0,0.0,147.65,0.0,50.295,1,0,Loyal,36.9125
18.0,26.0,3.0,Laptop & Accessory,3.0,Single,9.0,0.0,1.0,148.5,0.0,51.15,1,0,Loyal,37.125
3.0,12.0,4.0,Laptop & Accessory,1.0,Married,5.0,0.0,1.0,145.86,0.0,46.258,1,0,New,29.172000000000004
11.0,7.0,5.0,Mobile Phone,5.0,Divorced,4.0,0.0,3.0,164.2,0.0,54.559999999999995,1,0,Regular,27.366666666666664
0.0,5.0,4.0,Mobile,3.0,Single,2.0,0.0,2.0,130.33,0.0,40.699000000000005,1,0,,26.066000000000003
20.0,9.0,4.0,Fashion,1.0,Married,5.0,0.0,3.0,210.78,0.0,70.83399999999999,1,0,Loyal,42.156
11.0,11.0,4.0,Mobile Phone,3.0,Divorced,9.0,1.0,4.0,154.96,0.0,51.388,1,1,Regular,30.992
0.0,22.0,3.0,Fashion,5.0,Single,3.0,1.0,0.0,185.64,0.0,56.891999999999996,1,1,,46.41
10.0,13.0,2.0,Mobile Phone,1.0,Married,5.0,0.0,1.0,155.38,0.0,50.413999999999994,1,0,Regular,51.79333333333333
1.0,22.0,4.0,Mobile Phone,3.0,Married,3.0,0.0,3.0,151.1,0.0,47.23,1,0,New,30.22
9.0,24.0,4.0,Laptop & Accessory,5.0,Married,5.0,1.0,3.0,214.66,0.0,68.698,1,1,Regular,42.932
1.0,6.0,4.0,Laptop & Accessory,1.0,Married,2.0,1.0,7.0,168.34,0.0,52.402,1,1,New,33.668
9.0,9.0,4.0,Laptop & Accessory,1.0,Married,4.0,0.0,8.0,182.62,0.0,59.086000000000006,1,0,Regular,36.524
2.0,10.0,4.0,Mobile Phone,4.0,Married,3.0,0.0,1.0,153.56,0.0,48.268,1,0,New,30.712
30.0,15.0,4.0,Mobile Phone,5.0,Married,6.0,1.0,3.0,167.57,0.0,60.870999999999995,1,1,VIP,33.513999999999996
12.0,23.0,4.0,Laptop & Accessory,4.0,Single,4.0,0.0,3.0,166.98,0.0,55.294,1,0,Regular,33.396
8.0,22.0,3.0,Fashion,3.0,Married,5.0,1.0,0.0,176.32,0.0,56.495999999999995,1,1,Regular,44.08
